"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jan 31 12:18:42 GMT 2025","Fri Jan 31 12:18:42 GMT 2025","4","ИМ - Регистрация/авторизация","ИМ - Регистрация/авторизация","TestImAuthReg","","","Авторизация по SMS. Проверка валидации",""
"broken","Fri Jan 31 12:17:54 GMT 2025","Fri Jan 31 12:18:04 GMT 2025","10338","ИМ - Регистрация/авторизация","ИМ - Регистрация/авторизация","TestImAuthReg","","","Ввод различных данных в поле логина и проверка валидации",""
"failed","Fri Jan 31 12:18:20 GMT 2025","Fri Jan 31 12:18:20 GMT 2025","5","ИМ - Регистрация/авторизация","ИМ - Регистрация/авторизация","TestImAuthReg","","","Ввод различных данных и проверка авторизации ",""
"broken","Fri Jan 31 12:18:05 GMT 2025","Fri Jan 31 12:18:19 GMT 2025","14371","ИМ - Регистрация/авторизация","ИМ - Регистрация/авторизация","TestImAuthReg","","","Ввод различных данных и проверка авторизации ",""
"broken","Fri Jan 31 12:17:42 GMT 2025","Fri Jan 31 12:17:53 GMT 2025","10600","ИМ - Регистрация/авторизация","ИМ - Регистрация/авторизация","TestImAuthReg","","","Ввод различных данных в поле логина и проверка валидации",""
"failed","Fri Jan 31 12:17:10 GMT 2025","Fri Jan 31 12:17:10 GMT 2025","5","ИМ - Регистрация/авторизация","ИМ - Регистрация/авторизация","TestImAuthReg","","","Нажать кнопку ""Создать аккаунт""",""
"broken","Fri Jan 31 12:18:20 GMT 2025","Fri Jan 31 12:18:30 GMT 2025","10342","ИМ - Регистрация/авторизация","ИМ - Регистрация/авторизация","TestImAuthReg","","","Ввод различных данных и проверка авторизации ",""
"broken","Fri Jan 31 12:17:27 GMT 2025","Fri Jan 31 12:17:42 GMT 2025","14537","ИМ - Регистрация/авторизация","ИМ - Регистрация/авторизация","TestImAuthReg","","","Ввод различных данных в поле логина и проверка валидации",""
"broken","Fri Jan 31 12:18:56 GMT 2025","Fri Jan 31 12:19:06 GMT 2025","10145","ИМ - Регистрация/авторизация","ИМ - Регистрация/авторизация","TestImAuthReg","","","Восстановление пароля пользователя",""
"failed","Fri Jan 31 12:17:11 GMT 2025","Fri Jan 31 12:17:11 GMT 2025","5","ИМ - Регистрация/авторизация","ИМ - Регистрация/авторизация","TestImAuthReg","","","Ввести в поле ввода номера символы и буквы",""
"failed","Fri Jan 31 12:18:05 GMT 2025","Fri Jan 31 12:18:05 GMT 2025","4","ИМ - Регистрация/авторизация","ИМ - Регистрация/авторизация","TestImAuthReg","","","Ввод различных данных в поле логина и проверка валидации",""
"failed","Fri Jan 31 12:17:27 GMT 2025","Fri Jan 31 12:17:27 GMT 2025","4","ИМ - Регистрация/авторизация","ИМ - Регистрация/авторизация","TestImAuthReg","","","Ввести номер телефона зарегестрированного пользователя и нажать кнопку ""Получить код""",""
"broken","Fri Jan 31 12:17:11 GMT 2025","Fri Jan 31 12:17:26 GMT 2025","15149","ИМ - Регистрация/авторизация","ИМ - Регистрация/авторизация","TestImAuthReg","","","Ввести в поле ввода номера символы и буквы",""
"broken","Fri Jan 31 12:18:31 GMT 2025","Fri Jan 31 12:18:41 GMT 2025","10338","ИМ - Регистрация/авторизация","ИМ - Регистрация/авторизация","TestImAuthReg","","","Авторизация. Проверка переключения между способами входа",""
"broken","Fri Jan 31 12:18:42 GMT 2025","Fri Jan 31 12:18:56 GMT 2025","13551","ИМ - Регистрация/авторизация","ИМ - Регистрация/авторизация","TestImAuthReg","","","Yandex и ВК ID. Отображение кнопок входа",""
"failed","Fri Jan 31 12:18:42 GMT 2025","Fri Jan 31 12:18:42 GMT 2025","4","ИМ - Регистрация/авторизация","ИМ - Регистрация/авторизация","TestImAuthReg","","","Авторизация по SMS. Проверка валидации",""
"failed","Fri Jan 31 12:17:53 GMT 2025","Fri Jan 31 12:17:53 GMT 2025","4","ИМ - Регистрация/авторизация","ИМ - Регистрация/авторизация","TestImAuthReg","","","Ввод различных данных в поле логина и проверка валидации",""
"failed","Fri Jan 31 12:17:27 GMT 2025","Fri Jan 31 12:17:27 GMT 2025","5","ИМ - Регистрация/авторизация","ИМ - Регистрация/авторизация","TestImAuthReg","","","Ввести номер телефона не зарегистрированного пользователя и нажать ""Получить код""",""
